ID,Title,Month,Year,URL
1,"Graph indexing based on discriminative frequent structure analysis",December,2005,https://dl.acm.org/doi/10.1145/1114244.1114248
2,"Document Clustering Using Locality Preserving Indexing",December,2005,https://dl.acm.org/doi/10.1109/TKDE.2005.198
3,"Image clustering with tensor representation",November,2005,https://dl.acm.org/doi/10.1145/1101149.1101169
4,"Making SVMs Scalable to Large Data Sets using Hierarchical Cluster Indexing",November,2005,https://dl.acm.org/doi/10.1007/s10618-005-0005-7
5,"Community mining from multi-relational networks",October,2005,https://dl.acm.org/doi/10.5555/3121445.3121492
6,"Efficient classification from multiple heterogeneous databases",October,2005,https://dl.acm.org/doi/10.5555/3121445.3121487
7,"Efficient processing of ranked queries with sweeping selection",October,2005,https://dl.acm.org/doi/10.1007/11564126_54
8,"Stream Cube: An Architecture for Multi-Dimensional Analysis of Data Streams",September,2005,https://dl.acm.org/doi/10.1007/s10619-005-3296-1
9,"SOBER: statistical model-based bug localization",September,2005,https://dl.acm.org/doi/10.1145/1095430.1081753
10,"Mining compressed frequent-pattern sets",August,2005,https://dl.acm.org/doi/10.5555/1083592.1083675
11,"Mining hidden community in heterogeneous social networks",August,2005,https://dl.acm.org/doi/10.1145/1134271.1134280
12,"Accelerating DNA sequencing-by-hybridization with noise",August,2005,https://dl.acm.org/doi/10.1145/1134030.1134037
13,"An efficient multi-relational Naïve Bayesian classifier based on semantic relationship
                     graph",August,2005,https://dl.acm.org/doi/10.1145/1090193.1090200
14,"Parallel mining of closed sequential patterns",August,2005,https://dl.acm.org/doi/10.1145/1081870.1081937
15,"Cross-relational clustering with user's guidance",August,2005,https://dl.acm.org/doi/10.1145/1081870.1081910
16,"Mining closed relational graphs with connectivity constraints",August,2005,https://dl.acm.org/doi/10.1145/1081870.1081908
17,"Summarizing itemset patterns: a profile-based approach",August,2005,https://dl.acm.org/doi/10.1145/1081870.1081907
18,"A sampling-based framework for parallel data mining",June,2005,https://dl.acm.org/doi/10.1145/1065944.1065979
