ID,Title,Month,Year,URL
1,"Mining Evolving Streams with Resource Adaptive Computation",December,2005,https://dl.acm.org/doi/10.1109/ISM.2005.79
2,"WebKDD 2005: web mining and web usage analysis post-workshop report",December,2005,https://dl.acm.org/doi/10.1145/1117454.1117475
3,"Graph indexing based on discriminative frequent structure analysis",December,2005,https://dl.acm.org/doi/10.1145/1114244.1114248
4,"Efficient Processing of Continual Range Queries for Location-Aware Mobile Services",December,2005,https://dl.acm.org/doi/10.1007/s10796-005-4813-5
5,"Adaptive load diffusion for stream joins",November,2005,https://dl.acm.org/doi/10.1007/11587552_22
6,"Focused Community Discovery",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.70
7,"Efficiently Mining Frequent Closed Partial Orders",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.57
8,"Effective Estimation of Posterior Probabilities: Explaining the Accuracy of Randomized Decision Tree Approaches",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.54
9,"Combining Multiple Clusterings by Soft Correspondence",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.45
10,"An Improved Categorization of Classifier's Sensitivity on Sample Selection Bias",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.24
11,"A Border-Based Approach for Hiding Sensitive Frequent Itemsets",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.2
12,"Template-Based Privacy Preservation in Classification Problems",November,2005,https://dl.acm.org/doi/10.1109/ICDM.2005.142
13,"Supporting multi-party voice-over-IP services with peer-to-peer stream processing",November,2005,https://dl.acm.org/doi/10.1145/1101149.1101210
14,"Adaptive load diffusion for stream joins",November,2005,https://dl.acm.org/doi/10.5555/1515890.1515912
15,"Compact reachability labeling for graph-structured data",October,2005,https://dl.acm.org/doi/10.1145/1099554.1099708
16,"Integrating DCT and DWT for approximating cube streams",October,2005,https://dl.acm.org/doi/10.1145/1099554.1099588
17,"Adaptive load shedding for windowed stream joins",October,2005,https://dl.acm.org/doi/10.1145/1099554.1099587
